number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_max_features,params_min_samples_leaf,params_n_estimators,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state
53,0.9275016470068939,2023-09-04 17:30:21.535973,2023-09-04 17:36:41.940586,0 days 00:06:20.404613,0.0,balanced,4,11,500,125.71643257141113,1.0377490520477295,0.9275016470068939,0.9212589849427332,0.925904500650759,0.9353414554271895,6.351421922839856,0.05259804868291784,0.005859018751667213,COMPLETE
54,0.9275016470068939,2023-09-04 17:30:54.219077,2023-09-04 17:36:33.626290,0 days 00:05:39.407213,0.0,balanced,4,11,500,112.1233320236206,0.9658904075622559,0.9275016470068939,0.9212589849427332,0.925904500650759,0.9353414554271895,3.129333723802417,0.04216546753602863,0.005859018751667213,COMPLETE
55,0.9275016470068939,2023-09-04 17:31:07.347998,2023-09-04 17:37:31.134384,0 days 00:06:23.786386,0.0,balanced,4,11,500,126.82977803548177,1.0443225701649983,0.9275016470068939,0.9212589849427332,0.925904500650759,0.9353414554271895,6.304927854130964,0.021080164278370474,0.005859018751667213,COMPLETE
56,0.9275016470068939,2023-09-04 17:31:54.012347,2023-09-04 17:38:18.564602,0 days 00:06:24.552255,0.0,balanced,4,11,500,126.64741508165996,1.4841482639312744,0.9275016470068939,0.9212589849427332,0.925904500650759,0.9353414554271895,5.847001277310523,0.4399164363788757,0.005859018751667213,COMPLETE
57,0.9275016470068939,2023-09-04 17:33:59.973253,2023-09-04 17:39:39.605057,0 days 00:05:39.631804,0.0,balanced,4,11,500,112.009516954422,1.1280429363250732,0.9275016470068939,0.9212589849427332,0.925904500650759,0.9353414554271895,4.725778324121289,0.09089444273339105,0.005859018751667213,COMPLETE
58,0.9266382857126833,2023-09-04 17:34:07.134416,2023-09-04 17:39:26.519754,0 days 00:05:19.385338,0.0,balanced,4,21,500,105.2549741268158,1.1592912673950195,0.9266382857126833,0.9207617964545552,0.9232896011880285,0.9358634594954661,4.481586769934855,0.1727664882208796,0.006604307820634965,COMPLETE
59,0.9268526382132021,2023-09-04 17:34:34.091528,2023-09-04 17:41:05.912375,0 days 00:06:31.820847,0.0,balanced,5,21,500,129.30490907033285,1.2551925977071126,0.9268526382132021,0.9206147030661168,0.9239559125285579,0.9359872990449315,1.6145894294953356,0.19772850709798756,0.006601638258847837,COMPLETE
60,0.9216766491457409,2023-09-04 17:36:33.634290,2023-09-04 17:41:19.248490,0 days 00:04:45.614200,0.0,balanced,3,1,500,93.75418861707051,1.3711768786112468,0.9216766491457409,0.9118760400117585,0.9221038538849127,0.9310500535405515,2.316333884714937,0.3268081109001225,0.007833584816564397,COMPLETE
61,0.9216766491457409,2023-09-04 17:36:36.872449,2023-09-04 17:41:46.014645,0 days 00:05:09.142196,0.0,balanced,3,1,500,101.45586649576823,1.5019824504852295,0.9216766491457409,0.9118760400117585,0.9221038538849127,0.9310500535405515,2.4617503042184485,0.18740387178195944,0.007833584816564397,COMPLETE
62,0.9216766491457409,2023-09-04 17:36:41.950582,2023-09-04 17:41:51.066417,0 days 00:05:09.115835,0.0,balanced,3,1,500,101.70816977818806,1.2560826142628987,0.9216766491457409,0.9118760400117585,0.9221038538849127,0.9310500535405515,2.2672733720059597,0.0932161085708858,0.007833584816564397,COMPLETE
