number,value,datetime_start,datetime_complete,duration,params_rf__ccp_alpha,params_rf__max_features,params_rf__min_samples_leaf,params_rf__n_estimators,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state
64,0.9765654043504172,2023-09-04 03:04:23.895020,2023-09-04 03:10:53.487200,0 days 00:06:29.592180,0.0,6,31,500,128.5729706287384,1.2197330792744954,0.9765654043504172,0.9722914540219676,0.9778706753666366,0.9795340836626474,3.3592431537253162,0.05148348614119592,0.0030974958000886494,COMPLETE
65,0.9768664850832097,2023-09-04 03:05:35.227191,2023-09-04 03:08:59.554556,0 days 00:03:24.327365,0.0,3,31,500,66.9439103603363,1.1181880633036296,0.9768664850832097,0.9707556818838805,0.979610494513564,0.9802332788521844,1.4479554201712437,0.04669438839081122,0.004328464076228876,COMPLETE
66,0.9768664850832097,2023-09-04 03:07:00.703921,2023-09-04 03:10:24.068226,0 days 00:03:23.364305,0.0,3,31,500,66.59751494725545,1.1322214603424072,0.9768664850832097,0.9707556818838805,0.979610494513564,0.9802332788521844,1.5747335125327762,0.03747921605707781,0.004328464076228876,COMPLETE
67,0.9759603074162461,2023-09-04 03:07:03.496719,2023-09-04 03:14:29.426344,0 days 00:07:25.929625,0.0,7,31,500,147.17945297559103,1.4105699857076008,0.9759603074162461,0.9715766524792575,0.9772559427648281,0.9790483270046529,3.8171667173057817,0.14343862745185668,0.003184910597461304,COMPLETE
68,0.9768664850832097,2023-09-04 03:07:13.574221,2023-09-04 03:10:37.035252,0 days 00:03:23.461031,0.0,3,31,500,66.55306847890218,1.2174240748087566,0.9768664850832097,0.9707556818838805,0.979610494513564,0.9802332788521844,2.692194925516363,0.1199270260874257,0.004328464076228876,COMPLETE
69,0.9768664850832097,2023-09-04 03:07:43.252256,2023-09-04 03:11:09.883188,0 days 00:03:26.630932,0.0,3,31,500,67.50550397237141,1.315780480702718,0.9768664850832097,0.9707556818838805,0.979610494513564,0.9802332788521844,2.6666198223414512,0.1678049711202539,0.004328464076228876,COMPLETE
70,0.9768664850832097,2023-09-04 03:08:48.250549,2023-09-04 03:12:29.751243,0 days 00:03:41.500694,0.0,3,31,500,71.87498672803243,1.9008806546529133,0.9768664850832097,0.9707556818838805,0.979610494513564,0.9802332788521844,1.4605473072530473,0.47920219035304706,0.004328464076228876,COMPLETE
71,0.9768664850832097,2023-09-04 03:08:59.564557,2023-09-04 03:12:23.394741,0 days 00:03:23.830184,0.0,3,31,500,66.62896982828777,1.260543982187907,0.9768664850832097,0.9707556818838805,0.979610494513564,0.9802332788521844,1.2333158289020463,0.10373190246771635,0.004328464076228876,COMPLETE
72,0.9768664850832097,2023-09-04 03:09:10.510528,2023-09-04 03:12:47.768466,0 days 00:03:37.257938,0.0,3,31,500,71.09778579076131,1.2660127480824788,0.9768664850832097,0.9707556818838805,0.979610494513564,0.9802332788521844,1.886508843054259,0.030052298466048,0.004328464076228876,COMPLETE
73,0.9710249741991235,2023-09-04 03:10:24.075226,2023-09-04 03:13:48.581932,0 days 00:03:24.506706,0.01,3,31,500,67.18267734845479,0.9305276075998942,0.9710249741991235,0.962629281845197,0.9754576400981894,0.9749880006539842,1.960322223147954,0.03319421916646361,0.005939746227924958,COMPLETE
