number,value,datetime_start,datetime_complete,duration,params_rf__ccp_alpha,params_rf__max_features,params_rf__min_samples_leaf,params_rf__n_estimators,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state
67,0.9004057751420587,2023-09-03 22:40:13.553871,2023-09-03 22:42:00.370120,0 days 00:01:46.816249,0.0075,7,11,100,34.77461369832357,0.7767736117045084,0.9004057751420587,0.8990806080638165,0.8929230383892405,0.909213678973119,0.9530737900088169,0.26529988522540293,0.006716313150194836,COMPLETE
68,0.925692480983822,2023-09-03 22:40:20.557353,2023-09-03 22:41:52.813825,0 days 00:01:32.256472,0.0,7,51,100,29.62157964706421,1.0682164033253987,0.925692480983822,0.9181436875535715,0.9241767897998077,0.9347569655980869,1.3961049867192536,0.14120559570654334,0.006866500402682987,COMPLETE
69,0.9020306405606665,2023-09-03 22:40:28.908167,2023-09-03 22:41:52.271093,0 days 00:01:23.362926,0.0075,7,51,100,27.277379592259724,0.4614078998565674,0.9020306405606665,0.8992797533943688,0.8979247313079953,0.908887436979635,1.0821528119187487,0.13614660974942208,0.004879942900077543,COMPLETE
70,0.9068840393131182,2023-09-03 22:40:34.449748,2023-09-03 22:42:11.731174,0 days 00:01:37.281426,0.0025,7,11,100,31.894920269648235,0.4816991488138835,0.9068840393131182,0.9045630017585606,0.9005593524150378,0.9155297637657565,0.36286780978252314,0.23737424424272746,0.006328175908831951,COMPLETE
71,0.9068840393131182,2023-09-03 22:40:36.555852,2023-09-03 22:42:20.294146,0 days 00:01:43.738294,0.0025,7,11,100,33.86166779200236,0.6370662848154703,0.9068840393131182,0.9045630017585606,0.9005593524150378,0.9155297637657565,0.3941010459630327,0.2272792455184299,0.006328175908831951,COMPLETE
72,0.9271802236900043,2023-09-03 22:41:09.559719,2023-09-03 22:42:35.773714,0 days 00:01:26.213995,0.0,6,11,100,28.156628847122192,0.5250090758005778,0.9271802236900043,0.9193267577052439,0.927310904836353,0.9349030085284159,0.5641170324864606,0.21051123740699396,0.006359649130683244,COMPLETE
73,0.9271802236900043,2023-09-03 22:41:19.835754,2023-09-03 22:42:45.058490,0 days 00:01:25.222736,0.0,6,11,100,27.937402884165447,0.42598827679951984,0.9271802236900043,0.9193267577052439,0.927310904836353,0.9349030085284159,0.3718568094797748,0.06854520981605525,0.006359649130683244,COMPLETE
74,0.9271802236900043,2023-09-03 22:41:32.320795,2023-09-03 22:43:03.280256,0 days 00:01:30.959461,0.0,6,11,100,29.571451743443806,0.7031892935434977,0.9271802236900043,0.9193267577052439,0.927310904836353,0.9349030085284159,0.6241963991189515,0.21362928098110015,0.006359649130683244,COMPLETE
75,0.9271802236900043,2023-09-03 22:41:52.278096,2023-09-03 22:43:18.522069,0 days 00:01:26.243973,0.0,6,11,100,28.304776589075725,0.3885194460550944,0.9271802236900043,0.9193267577052439,0.927310904836353,0.9349030085284159,0.7362392884654921,0.028610654367718258,0.006359649130683244,COMPLETE
76,0.9271802236900043,2023-09-03 22:41:52.823271,2023-09-03 22:43:23.789748,0 days 00:01:30.966477,0.0,6,11,100,29.525510390599568,0.7284629344940186,0.9271802236900043,0.9193267577052439,0.927310904836353,0.9349030085284159,0.4351131416987451,0.448669218175573,0.006359649130683244,COMPLETE
77,0.9271802236900043,2023-09-03 22:42:00.376119,2023-09-03 22:43:28.796240,0 days 00:01:28.420121,0.0,6,11,100,28.97320532798767,0.41113464037577313,0.9271802236900043,0.9193267577052439,0.927310904836353,0.9349030085284159,0.5380126933492944,0.014438404189440462,0.006359649130683244,COMPLETE
78,0.9262256867037512,2023-09-03 22:42:11.736174,2023-09-03 22:43:26.320087,0 days 00:01:14.583913,0.0,6,51,100,24.39212719599406,0.42398873964945477,0.9262256867037512,0.9187251704210347,0.9239226466749689,0.9360292430152497,1.3819425880900582,0.06834998124804714,0.007249631122436283,COMPLETE
79,0.9262256867037512,2023-09-03 22:42:20.301148,2023-09-03 22:43:39.663094,0 days 00:01:19.361946,0.0,6,51,100,25.84426760673523,0.5460228125254313,0.9262256867037512,0.9187251704210347,0.9239226466749689,0.9360292430152497,0.44687119509795115,0.23815162185706626,0.007249631122436283,COMPLETE
80,0.9271802236900043,2023-09-03 22:42:35.780718,2023-09-03 22:44:03.595958,0 days 00:01:27.815240,0.0,6,11,100,28.494571288426716,0.7101379235585531,0.9271802236900043,0.9193267577052439,0.927310904836353,0.9349030085284159,1.1291991246558797,0.3991599919465915,0.006359649130683244,COMPLETE
81,0.9271802236900043,2023-09-03 22:42:45.065490,2023-09-03 22:44:11.783621,0 days 00:01:26.718131,0.0,6,11,100,28.277132590611775,0.5823988914489746,0.9271802236900043,0.9193267577052439,0.927310904836353,0.9349030085284159,0.4655820544694567,0.25610446851034385,0.006359649130683244,COMPLETE
82,0.9271802236900043,2023-09-03 22:43:03.292257,2023-09-03 22:44:35.826483,0 days 00:01:32.534226,0.0,6,11,100,30.13330912590027,0.6399075190226237,0.9271802236900043,0.9193267577052439,0.927310904836353,0.9349030085284159,0.9640208722922498,0.29618006388524437,0.006359649130683244,COMPLETE
83,0.9271802236900043,2023-09-03 22:43:18.528072,2023-09-03 22:44:44.282095,0 days 00:01:25.754023,0.0,6,11,100,27.886584520339966,0.6503925323486328,0.9271802236900043,0.9193267577052439,0.927310904836353,0.9349030085284159,0.8620135868945971,0.35908722462501175,0.006359649130683244,COMPLETE
84,0.9271802236900043,2023-09-03 22:43:23.796747,2023-09-03 22:44:55.679925,0 days 00:01:31.883178,0.0,6,11,100,30.035356601079304,0.5405160586039225,0.9271802236900043,0.9193267577052439,0.927310904836353,0.9349030085284159,0.8044477626696094,0.15421065928483094,0.006359649130683244,COMPLETE
